iter	Passed	Remaining
720	1643	635
721	1645	633
722	1647	631
723	1649	628
724	1651	626
725	1654	624
726	1656	622
727	1659	620
728	1661	617
729	1662	615
730	1664	612
731	1665	609
732	1668	607
733	1669	605
734	1670	602
735	1676	601
736	1677	598
737	1679	596
738	1680	593
739	1692	594
740	1693	592
741	1695	589
742	1699	587
743	1701	585
744	1703	583
745	1705	580
746	1706	577
747	1707	575
748	1709	572
749	1710	570
750	1715	568
751	1720	567
752	1722	564
753	1727	563
754	1728	560
755	1730	558
756	1731	555
757	1732	553
758	1733	550
759	1734	547
760	1735	545
761	1736	542
762	1737	539
763	1738	537
764	1740	534
765	1741	532
766	1743	529
767	1744	526
768	1745	524
769	1746	521
770	1748	519
771	1749	516
772	1750	513
773	1751	511
774	1752	508
775	1753	506
776	1754	503
777	1756	501
778	1758	498
779	1760	496
780	1761	494
781	1763	491
782	1764	488
783	1765	486
784	1766	483
785	1767	481
786	1770	479
787	1771	476
788	1772	474
789	1773	471
790	1774	468
791	1776	466
792	1777	464
793	1778	461
794	1779	458
795	1780	456
796	1781	453
797	1783	451
798	1784	449
799	1786	446
800	1787	444
801	1788	441
802	1789	438
803	1790	436
804	1791	434
805	1792	431
806	1794	429
807	1795	426
808	1796	424
809	1798	421
810	1801	419
811	1802	417
812	1803	414
813	1804	412
814	1805	409
815	1807	407
816	1809	405
817	1810	402
818	1811	400
819	1813	398
820	1814	395
821	1815	393
822	1816	390
823	1818	388
824	1819	385
825	1820	383
826	1822	381
827	1823	378
828	1828	377
829	1830	374
830	1831	372
831	1832	370
832	1833	367
833	1838	365
834	1839	363
835	1847	362
836	1849	360
837	1858	359
838	1860	357
839	1864	355
840	1868	353
841	1871	351
842	1873	348
843	1874	346
844	1876	344
845	1879	342
846	1880	339
847	1883	337
848	1905	338
849	1907	336
850	1908	334
851	1910	331
852	1911	329
853	1913	327
854	1914	324
855	1915	322
856	1917	319
857	1918	317
858	1919	315
859	1920	312
860	1922	310
861	1923	307
862	1924	305
863	1925	303
864	1926	300
865	1927	298
866	1928	295
867	1930	293
868	1931	291
869	1932	288
870	1933	286
871	1935	284
872	1936	281
873	1937	279
874	1938	276
875	1939	274
876	1940	272
877	1941	269
878	1943	267
879	1945	265
880	1946	262
881	1947	260
882	1948	258
883	1950	255
884	1951	253
885	1952	251
886	1953	248
887	1954	246
888	1955	244
889	1956	241
890	1957	239
891	1959	237
892	1961	234
893	1962	232
894	1963	230
895	1964	228
896	1965	225
897	1966	223
898	1967	221
899	1968	218
900	1970	216
901	1971	214
902	1972	211
903	1973	209
904	1975	207
905	1976	205
906	1977	202
907	1979	200
908	1980	198
909	1981	195
910	1982	193
911	1983	191
912	1984	189
913	1985	186
914	1986	184
915	1988	182
916	1990	180
917	1991	177
918	1992	175
919	1993	173
920	1994	171
921	1996	168
922	2026	169
923	2028	166
924	2029	164
925	2033	162
926	2034	160
927	2035	157
928	2037	155
929	2038	153
930	2040	151
931	2044	149
932	2048	147
933	2049	144
934	2050	142
935	2052	140
936	2053	138
937	2054	135
938	2055	133
939	2056	131
940	2063	129
941	2065	127
942	2066	124
943	2067	122
944	2069	120
945	2070	118
946	2071	115
947	2072	113
948	2075	111
949	2076	109
950	2077	107
951	2078	104
952	2079	102
953	2080	100
954	2082	98
955	2083	95
956	2084	93
957	2085	91
958	2086	89
959	2087	86
960	2089	84
961	2090	82
962	2091	80
963	2092	78
964	2093	75
965	2094	73
966	2095	71
967	2096	69
968	2097	67
969	2098	64
970	2099	62
971	2100	60
972	2101	58
973	2103	56
974	2104	53
975	2105	51
976	2106	49
977	2107	47
978	2108	45
979	2109	43
980	2110	40
981	2111	38
982	2112	36
983	2113	34
984	2114	32
985	2115	30
986	2116	27
987	2119	25
988	2120	23
989	2121	21
990	2122	19
991	2123	17
992	2124	14
993	2126	12
994	2129	10
995	2131	8
996	2135	6
997	2137	4
998	2138	2
999	2140	0
